"originalName","newName","logicalPath","contentType","bytes","sha256","sourceUrl","sourceGroup","classification"
"5c577a53-a1d8-419b-89a9-a784445798f3.c81ad.png","images/texture/bonus_loading/no/bonus_loading.png","texture/bonus_loading/no/bonus_loading","image/png","54051","29d4a1770b3071827d25ca891b1d73e5d10bc60070a9a353f12a466c891228ed","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/5c/5c577a53-a1d8-419b-89a9-a784445798f3.c81ad.png","manifest-native","manifest-confirmed"
"1c79d370-98c7-4640-97b4-039215ecf070.7b585.png","images/texture/bonus_loading/pl/bonus_loading.png","texture/bonus_loading/pl/bonus_loading","image/png","65093","c623da95420e344cb70b2c79967c28609f1d94854672a1907fbd513d91ed3ffc","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/1c/1c79d370-98c7-4640-97b4-039215ecf070.7b585.png","manifest-native","manifest-confirmed"
"7d8d2591-6735-4571-892b-5015fdd5b33a.34ee1.png","images/texture/bonus_loading/pt/bonus_loading.png","texture/bonus_loading/pt/bonus_loading","image/png","75187","dc8e575efb25f40644fc92d1f0e2f5c2916430f5107e138d728b33461b87eb95","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/7d/7d8d2591-6735-4571-892b-5015fdd5b33a.34ee1.png","manifest-native","manifest-confirmed"
"ed34b467-0477-436a-8726-3fe6f6ea9294.57656.png","images/texture/bonus_loading/ro/bonus_loading.png","texture/bonus_loading/ro/bonus_loading","image/png","63160","e152aa26d33cb2458ca8d851fd2d74162b4685cb5e442c54d08a2f1d851e5c97","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/ed/ed34b467-0477-436a-8726-3fe6f6ea9294.57656.png","manifest-native","manifest-confirmed"
"c7a3e2c2-6d1c-4dfd-b423-aeff465235b7.fc622.png","images/texture/bonus_loading/ru/bonus_loading.png","texture/bonus_loading/ru/bonus_loading","image/png","71780","b27b33834d92895c16c04339a6f8e972a2b4921337b0203534a98590450bc139","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/c7/c7a3e2c2-6d1c-4dfd-b423-aeff465235b7.fc622.png","manifest-native","manifest-confirmed"
"39a9d226-a23c-413f-b0a2-94e7cd90bf3c.84556.png","images/texture/bonus_loading/sv/bonus_loading.png","texture/bonus_loading/sv/bonus_loading","image/png","56819","1168528fe34d4dfba2ac7d66a991308a375c713e85254d8b947ae6a7f79f4567","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/39/39a9d226-a23c-413f-b0a2-94e7cd90bf3c.84556.png","manifest-native","manifest-confirmed"
"c8aa9e4c-bff6-4548-b9e0-31f23daaad40.18e7a.png","images/texture/bonus_loading/th/bonus_loading.png","texture/bonus_loading/th/bonus_loading","image/png","46897","0d5bd04aeacec1d3c3f6f658552716e8ba464ad8111f8d819b66647ce8e7db62","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/c8/c8aa9e4c-bff6-4548-b9e0-31f23daaad40.18e7a.png","manifest-native","manifest-confirmed"
"5431b467-0d7d-4592-a40f-c8e21ddf14e8.73c7b.png","images/texture/bonus_loading/tr/bonus_loading.png","texture/bonus_loading/tr/bonus_loading","image/png","63468","af59fd99dd8a766fbf6155b8a0fd149536db125087bbc6f8ca191dd0b2eb1c13","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/54/5431b467-0d7d-4592-a40f-c8e21ddf14e8.73c7b.png","manifest-native","manifest-confirmed"
"0f358818-0225-4cf6-970a-aa3356b5f613.da6c4.png","images/texture/bonus_loading/uk/bonus_loading.png","texture/bonus_loading/uk/bonus_loading","image/png","375875","58085a7084fd8e4f2c0c4bcde3d899831bd994dbd6df9f7dad3c98665c8574af","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/0f/0f358818-0225-4cf6-970a-aa3356b5f613.da6c4.png","manifest-native","manifest-confirmed"
"4e288c90-0457-430c-97a4-5c4e3cb641f4.5eee8.png","images/texture/bonus_loading/vi/bonus_loading.png","texture/bonus_loading/vi/bonus_loading","image/png","78358","403de009da0359c11dde9fd94acbdeedbae396f77b1a1580752920fdb8443569","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/4e/4e288c90-0457-430c-97a4-5c4e3cb641f4.5eee8.png","manifest-native","manifest-confirmed"
"38ffbf09-a02e-4a6d-8635-096e832e13cd.2dd2c.png","images/texture/bonus_loading/zh/bonus_loading.png","texture/bonus_loading/zh/bonus_loading","image/png","80957","ae52808745cebb46386aa7f5b77abcc5193262406789e8cf2db1fff13a1ea5ef","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/38/38ffbf09-a02e-4a6d-8635-096e832e13cd.2dd2c.png","manifest-native","manifest-confirmed"
"b4d6b6f3-fa1e-4e68-b1f7-8bbbc9d57734.1d7f2.png","images/texture/free_spins/ar/free_spins.png","texture/free_spins/ar/free_spins","image/png","84739","bc65a61e2c49001361f0661f9f72902dea2ccb58ece7cc12eb35b152796e3e9d","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/b4/b4d6b6f3-fa1e-4e68-b1f7-8bbbc9d57734.1d7f2.png","manifest-native","manifest-confirmed"
"d218b512-947b-4085-93be-d27a7e25d77c.9d7bd.png","images/texture/free_spins/bn/free_spins.png","texture/free_spins/bn/free_spins","image/png","129542","d0b0f5cb9039be814cc11196a7c35e0d6f6c9fbf98958ac6c9933be3b1991d29","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/d2/d218b512-947b-4085-93be-d27a7e25d77c.9d7bd.png","manifest-native","manifest-confirmed"
"5bd6ec22-1529-46c6-b837-d2cf74554e22.0ff97.png","images/texture/free_spins/da/free_spins.png","texture/free_spins/da/free_spins","image/png","26757","db81322bb9d9718e94f5d0511b36eac6df8d733062bf6f1c62c58d3aff0bac02","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/5b/5bd6ec22-1529-46c6-b837-d2cf74554e22.0ff97.png","manifest-native","manifest-confirmed"
"17ecceac-8ad5-4f49-a3fc-0ed66e78edc4.2a428.png","images/texture/free_spins/de/free_spins.png","texture/free_spins/de/free_spins","image/png","27185","b9e2cad34059b76168b2dee77c6f66272442e62110948c6a6df8baba1fda859a","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/17/17ecceac-8ad5-4f49-a3fc-0ed66e78edc4.2a428.png","manifest-native","manifest-confirmed"
"da745b6d-5561-443f-934a-7adef6e2d7e7.573bd.png","images/texture/free_spins/es/free_spins.png","texture/free_spins/es/free_spins","image/png","27235","43d8da311636af9bd02779c867676ddb2fba078d121f299fa7aeff9f9ca8e591","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/da/da745b6d-5561-443f-934a-7adef6e2d7e7.573bd.png","manifest-native","manifest-confirmed"
"6b447284-6852-47c4-ada6-1b89a6d761a2.3142f.png","images/texture/free_spins/fi/free_spins.png","texture/free_spins/fi/free_spins","image/png","34215","b5ce26079d269961be839ac9d643d91e85bb26567a39bc85fcaa1a2cf0ebc0fa","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/6b/6b447284-6852-47c4-ada6-1b89a6d761a2.3142f.png","manifest-native","manifest-confirmed"
"25023e26-1c5f-4795-8476-ef7bd9cf0fac.07949.png","images/texture/free_spins/fr/free_spins.png","texture/free_spins/fr/free_spins","image/png","31028","870c5364c4d0eb26224398736a8540c8d4fb9df6339a0d73a8b58f72feaf22d8","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/25/25023e26-1c5f-4795-8476-ef7bd9cf0fac.07949.png","manifest-native","manifest-confirmed"
"d50f9a39-1bd6-4cd2-b0f7-5c98c57447ad.b9911.png","images/texture/free_spins/free_spins.png","texture/free_spins/free_spins","image/png","110534","50d5dd320407e76d63dd72603478faa97a52b01e56e0fe3b35f5a2a6c4acf98b","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/d5/d50f9a39-1bd6-4cd2-b0f7-5c98c57447ad.b9911.png","manifest-native","manifest-confirmed"
"f3697411-8f7a-4bbb-97d1-602cfbe13ed1.fa2c9.png","images/texture/free_spins/hi/free_spins.png","texture/free_spins/hi/free_spins","image/png","97447","fe73b262ae2aaf34cee12c0b32aa4bdcafb64effe7f3e83da8dd0d3f2fe9b24a","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/f3/f3697411-8f7a-4bbb-97d1-602cfbe13ed1.fa2c9.png","manifest-native","manifest-confirmed"
"e025a9db-c544-4b3d-8ece-5c65a3e8f14d.6c146.png","images/texture/free_spins/id/free_spins.png","texture/free_spins/id/free_spins","image/png","29334","056df06577473bfc41912a58b4d6bb3d541a3fdd388a1808c757ca559fddefe3","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/e0/e025a9db-c544-4b3d-8ece-5c65a3e8f14d.6c146.png","manifest-native","manifest-confirmed"
"fe689834-1179-4c58-8b5b-b3564d210e06.76f4f.png","images/texture/free_spins/it/free_spins.png","texture/free_spins/it/free_spins","image/png","28098","efaed725829e08fd6d01468b6f32e7a3cc41237b57a2cb00ee1726710d616475","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/fe/fe689834-1179-4c58-8b5b-b3564d210e06.76f4f.png","manifest-native","manifest-confirmed"
"e4d7f17c-ad5c-4268-91cf-8f88f08a7db7.6cb51.png","images/texture/free_spins/ja/free_spins.png","texture/free_spins/ja/free_spins","image/png","39170","634685e2a67fde3599a2e0aca2b145f6ca80dcfdc7c1926812a52338c51444ac","https://static11130rc3.pgf-asu2nd.com/65/assets/resources/native/e4/e4d7f17c-ad5c-4268-91cf-8f88f08a7db7.6cb51.png","manifest-native","manifest-confirmed"
